V1	I1	V2	I2	V3	I3
0.00000E+00	5.51920E-10	-2.38000E-02	0.00000E+00	0.00000E+00	-4.31000E-10
2.00000E-02	3.09800E-11	-6.40000E-03	0.00000E+00	0.00000E+00	-2.12250E-09
4.00000E-02	-5.67850E-10	1.56800E-02	0.00000E+00	0.00000E+00	1.66880E-09
6.00000E-02	1.20780E-10	3.38000E-02	0.00000E+00	0.00000E+00	1.90860E-09
8.00000E-02	6.57170E-10	5.66000E-02	0.00000E+00	0.00000E+00	-2.01320E-09
1.00000E-01	-3.96720E-10	7.73200E-02	0.00000E+00	0.00000E+00	-8.05000E-11
1.20000E-01	1.19000E-12	9.57600E-02	0.00000E+00	0.00000E+00	2.16140E-09
1.40000E-01	8.42590E-10	1.15640E-01	0.00000E+00	0.00000E+00	-1.43060E-09
1.60000E-01	1.20940E-10	1.33160E-01	0.00000E+00	0.00000E+00	-2.07810E-09
1.80000E-01	-2.45450E-10	1.54680E-01	0.00000E+00	0.00000E+00	1.67560E-09
2.00000E-01	8.18500E-10	1.76280E-01	0.00000E+00	0.00000E+00	1.90620E-09
2.20000E-01	1.13290E-09	1.95160E-01	0.00000E+00	0.00000E+00	-3.03280E-09
2.40000E-01	1.25730E-09	2.12920E-01	0.00000E+00	0.00000E+00	-2.84370E-09
2.60000E-01	1.35960E-09	2.31000E-01	0.00000E+00	0.00000E+00	-2.53560E-09
2.80000E-01	1.36600E-09	2.53680E-01	0.00000E+00	0.00000E+00	-2.37800E-09
3.00000E-01	1.74590E-09	2.72080E-01	0.00000E+00	0.00000E+00	-1.94640E-09
3.20000E-01	3.77950E-09	2.94320E-01	0.00000E+00	0.00000E+00	-1.44850E-09
3.40000E-01	7.16070E-09	3.12120E-01	0.00000E+00	0.00000E+00	-7.79190E-09
3.60000E-01	1.17998E-08	3.27600E-01	0.00000E+00	0.00000E+00	-1.35536E-08
3.80000E-01	1.78508E-08	3.45200E-01	0.00000E+00	0.00000E+00	-1.95800E-08
4.00000E-01	2.71854E-08	3.60280E-01	0.00000E+00	0.00000E+00	-2.78372E-08
4.20000E-01	3.92588E-08	3.75440E-01	0.00000E+00	0.00000E+00	-3.74352E-08
4.40000E-01	5.32542E-08	3.83440E-01	0.00000E+00	0.00000E+00	-5.32746E-08
4.60000E-01	6.78390E-08	3.91200E-01	0.00000E+00	0.00000E+00	-6.96418E-08
4.80000E-01	7.80090E-08	3.96800E-01	0.00000E+00	0.00000E+00	-7.60286E-08
5.00000E-01	8.72100E-08	3.98760E-01	0.00000E+00	0.00000E+00	-8.68044E-08
5.20000E-01	9.52398E-08	4.02960E-01	0.00000E+00	0.00000E+00	-9.75008E-08
5.40000E-01	1.01055E-07	4.04880E-01	0.00000E+00	0.00000E+00	-1.01010E-07
5.60000E-01	1.06791E-07	4.07200E-01	0.00000E+00	0.00000E+00	-1.04331E-07
5.80000E-01	1.12811E-07	4.08760E-01	0.00000E+00	0.00000E+00	-1.13301E-07
6.00000E-01	1.18000E-07	4.09520E-01	0.00000E+00	0.00000E+00	-1.15420E-07
