V1	I1	V2	I2	V3	I3
0.00000E+00	1.08690E-09	0.00000E+00	-1.31460E-09	0.00000E+00	-2.50760E-09
1.00000E-02	9.90600E-10	1.00000E-02	-1.23430E-09	0.00000E+00	2.42000E-09
2.00000E-02	1.05890E-09	2.00000E-02	-1.25750E-09	0.00000E+00	2.09590E-09
3.00000E-02	1.02460E-09	3.00000E-02	-1.30970E-09	0.00000E+00	2.41210E-09
4.00000E-02	1.03910E-09	4.00000E-02	-1.25580E-09	0.00000E+00	2.60380E-09
5.00000E-02	1.20970E-09	5.00000E-02	-1.34030E-09	0.00000E+00	2.26210E-09
6.00000E-02	1.24080E-09	6.00000E-02	-1.26980E-09	0.00000E+00	2.40750E-09
7.00000E-02	1.43120E-09	7.00000E-02	-1.20690E-09	0.00000E+00	2.16390E-09
8.00000E-02	1.66850E-09	8.00000E-02	-1.31190E-09	0.00000E+00	1.81580E-09
9.00000E-02	1.77700E-09	9.00000E-02	-1.23890E-09	0.00000E+00	1.83350E-09
1.00000E-01	1.86630E-09	1.00000E-01	-1.17110E-09	0.00000E+00	1.34070E-09
1.10000E-01	2.31680E-09	1.10000E-01	-1.25270E-09	0.00000E+00	1.14640E-09
1.20000E-01	2.47950E-09	1.20000E-01	-7.36600E-10	0.00000E+00	-3.10860E-09
1.30000E-01	2.96500E-09	1.30000E-01	-8.05200E-10	0.00000E+00	-3.21780E-09
1.40000E-01	3.60310E-09	1.40000E-01	-1.04700E-09	0.00000E+00	-2.20440E-09
1.50000E-01	4.43860E-09	1.50000E-01	-1.05550E-09	0.00000E+00	-1.80860E-09
1.60000E-01	5.59110E-09	1.60000E-01	-1.08490E-09	0.00000E+00	-2.66230E-09
1.70000E-01	6.97440E-09	1.70000E-01	1.94370E-10	0.00000E+00	-9.27080E-09
1.80000E-01	9.02120E-09	1.80000E-01	-5.41000E-10	0.00000E+00	-1.10272E-08
1.90000E-01	1.11488E-08	1.90000E-01	2.69570E-10	0.00000E+00	-1.29218E-08
2.00000E-01	1.43992E-08	2.00000E-01	4.08970E-10	0.00000E+00	-1.60340E-08
2.10000E-01	1.82338E-08	2.10000E-01	8.57000E-11	0.00000E+00	-1.95380E-08
2.20000E-01	2.28952E-08	2.20000E-01	1.37870E-09	0.00000E+00	-2.41406E-08
2.30000E-01	2.96680E-08	2.30000E-01	1.79250E-09	0.00000E+00	-3.34148E-08
2.40000E-01	3.79590E-08	2.40000E-01	2.12520E-09	0.00000E+00	-4.02394E-08
2.50000E-01	4.85188E-08	2.50000E-01	3.63360E-09	0.00000E+00	-5.03908E-08
2.60000E-01	6.33988E-08	2.60000E-01	6.75880E-09	0.00000E+00	-6.95220E-08
2.70000E-01	8.27744E-08	2.70000E-01	9.91510E-09	0.00000E+00	-9.45572E-08
2.80000E-01	1.07476E-07	2.80000E-01	1.47402E-08	0.00000E+00	-1.19120E-07
2.90000E-01	1.40820E-07	2.90000E-01	2.10896E-08	0.00000E+00	-1.60640E-07
3.00000E-01	1.84860E-07	3.00000E-01	3.27056E-08	0.00000E+00	-2.17860E-07
3.10000E-01	2.41200E-07	3.10000E-01	4.77762E-08	0.00000E+00	-2.90700E-07
3.20000E-01	3.17600E-07	3.20000E-01	7.15670E-08	0.00000E+00	-3.88260E-07
3.30000E-01	4.17260E-07	3.30000E-01	1.06048E-07	0.00000E+00	-5.26440E-07
3.40000E-01	5.51160E-07	3.40000E-01	1.57240E-07	0.00000E+00	-7.08380E-07
3.50000E-01	7.26100E-07	3.50000E-01	2.33500E-07	0.00000E+00	-9.55880E-07
3.60000E-01	9.53460E-07	3.60000E-01	3.44560E-07	0.00000E+00	-1.30260E-06
3.70000E-01	1.26200E-06	3.70000E-01	5.10580E-07	0.00000E+00	-1.77440E-06
3.80000E-01	1.66190E-06	3.80000E-01	7.52840E-07	0.00000E+00	-2.41290E-06
3.90000E-01	2.18740E-06	3.90000E-01	1.10532E-06	0.00000E+00	-3.28790E-06
4.00000E-01	2.87860E-06	4.00000E-01	1.63300E-06	0.00000E+00	-4.50110E-06
